TIMESTAMP,WORKLOAD_NAME,WORKLOAD_ID,MEMBER,ACT_ABORTED_TOTAL,ACT_COMPLETED_TOTAL,ACT_REJECTED_TOTAL,AGENT_WAIT_TIME,AGENT_WAITS_TOTAL,POOL_DATA_L_READS,POOL_INDEX_L_READS,POOL_TEMP_DATA_L_READS,POOL_TEMP_INDEX_L_READS,POOL_TEMP_XDA_L_READS,POOL_XDA_L_READS,POOL_DATA_P_READS,POOL_INDEX_P_READS,POOL_TEMP_DATA_P_READS,POOL_TEMP_INDEX_P_READS,POOL_TEMP_XDA_P_READS,POOL_XDA_P_READS,POOL_DATA_WRITES,POOL_INDEX_WRITES,POOL_XDA_WRITES,POOL_READ_TIME,POOL_WRITE_TIME,CLIENT_IDLE_WAIT_TIME,DEADLOCKS,DIRECT_READS,DIRECT_READ_TIME,DIRECT_WRITES,DIRECT_WRITE_TIME,DIRECT_READ_REQS,DIRECT_WRITE_REQS,FCM_RECV_VOLUME,FCM_RECVS_TOTAL,FCM_SEND_VOLUME,FCM_SENDS_TOTAL,FCM_RECV_WAIT_TIME,FCM_SEND_WAIT_TIME,IPC_RECV_VOLUME,IPC_RECV_WAIT_TIME,IPC_RECVS_TOTAL,IPC_SEND_VOLUME,IPC_SEND_WAIT_TIME,IPC_SENDS_TOTAL,LOCK_ESCALS,LOCK_TIMEOUTS,LOCK_WAIT_TIME,LOCK_WAITS,LOG_BUFFER_WAIT_TIME,NUM_LOG_BUFFER_FULL,LOG_DISK_WAIT_TIME,LOG_DISK_WAITS_TOTAL,RQSTS_COMPLETED_TOTAL,ROWS_MODIFIED,ROWS_READ,ROWS_RETURNED,TCPIP_RECV_VOLUME,TCPIP_SEND_VOLUME,TCPIP_RECV_WAIT_TIME,TCPIP_RECVS_TOTAL,TCPIP_SEND_WAIT_TIME,TCPIP_SENDS_TOTAL,TOTAL_APP_RQST_TIME,TOTAL_RQST_TIME,WLM_QUEUE_TIME_TOTAL,WLM_QUEUE_ASSIGNMENTS_TOTAL,TOTAL_CPU_TIME,TOTAL_WAIT_TIME,APP_RQSTS_COMPLETED_TOTAL,TOTAL_SECTION_SORT_TIME,TOTAL_SECTION_SORT_PROC_TIME,TOTAL_SECTION_SORTS,TOTAL_SORTS,POST_THRESHOLD_SORTS,POST_SHRTHRESHOLD_SORTS,SORT_OVERFLOWS,TOTAL_COMPILE_TIME,TOTAL_COMPILE_PROC_TIME,TOTAL_COMPILATIONS,TOTAL_IMPLICIT_COMPILE_TIME,TOTAL_IMPLICIT_COMPILE_PROC_TIME,TOTAL_IMPLICIT_COMPILATIONS,TOTAL_SECTION_TIME,TOTAL_SECTION_PROC_TIME,TOTAL_APP_SECTION_EXECUTIONS,TOTAL_ACT_TIME,TOTAL_ACT_WAIT_TIME,ACT_RQSTS_TOTAL,TOTAL_ROUTINE_TIME,TOTAL_ROUTINE_INVOCATIONS,TOTAL_COMMIT_TIME,TOTAL_COMMIT_PROC_TIME,TOTAL_APP_COMMITS,INT_COMMITS,TOTAL_ROLLBACK_TIME,TOTAL_ROLLBACK_PROC_TIME,TOTAL_APP_ROLLBACKS,INT_ROLLBACKS,TOTAL_RUNSTATS_TIME,TOTAL_RUNSTATS_PROC_TIME,TOTAL_RUNSTATS,TOTAL_REORG_TIME,TOTAL_REORG_PROC_TIME,TOTAL_REORGS,TOTAL_LOAD_TIME,TOTAL_LOAD_PROC_TIME,TOTAL_LOADS,CAT_CACHE_INSERTS,CAT_CACHE_LOOKUPS,PKG_CACHE_INSERTS,PKG_CACHE_LOOKUPS,THRESH_VIOLATIONS,NUM_LW_THRESH_EXCEEDED,ADDITIONAL_DETAILS
"2015-11-01 00:00:12.191370","SYSDEFAULTUSERWORKLOAD",1,0,144055,14414919434,0,0,0,5736564877928,3632522034425,5403936442,0,12158236,252400546,575985018,396303482,71621,0,14,303759,1940458,1050274,49850,13318265623,34191862,259032662297,9,66736000,44828736,18669632,105089,5993894,7436109,177042524,43664,179195184,58209,10846,58700,4261389860,8296,12489200,31335167768,137310,12497390,0,700,47033318,251355,948119,1441,18033401297,985589431,8204850413,828583651317,38725511135129,15334240210,15442162340915,39706914386341,56686623,-3495314556,432116069,-3495305097,78523293247,88045338795,0,0,90995724699702421,31967797014,8204848919,7504617976,7503460901,3793520709,248606656609,176,176,63713141,502442311,455155903,22428154,3929869,3921519,11482950,53553621602,39903870690,10120096189,53555271737,13650672885,10987894068,1568423,32574,17795155099,47509636,1137647261,15473128,15814796,15583948,1583577466,917,10594587,3670838,5579,0,0,0,81310,14888,4,3449430,337207405,10841071,14094912160,0,0,
"2015-11-01 00:00:12.191370","SYSDEFAULTADMWORKLOAD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2015-11-01 00:10:11.952046","SYSDEFAULTUSERWORKLOAD",1,0,144055,14414958990,0,0,0,5736567171547,3632524696952,5403954118,0,12158236,252401106,575993500,396322145,71621,0,14,303761,1940463,1050379,49850,13319394847,34196255,259082421530,9,66739016,44828920,18674564,105110,5994901,7437989,177042524,43664,179195184,58209,10846,58700,4261522077,8297,12490313,31337294035,137326,12498505,0,700,47034948,251362,948119,1441,18034672651,985600119,8204992183,828585614247,38725533537865,15334276090,15442202230380,39707011579240,56686880,-3495253033,432117819,-3495243576,78526888608,88048934157,0,0,90995724746274092,31970205843,8204990689,7504620229,7503463143,3793521655,248606657555,176,176,63713509,502445423,455158837,22428211,3929873,3921523,11482954,53554842260,39903947208,10120135745,53556492395,13651817025,10987934943,1568423,32574,17796418002,47510082,1137658102,15473175,15814921,15584073,1583588325,917,10594587,3670838,5579,0,0,0,81310,14888,4,3449436,337208161,10841100,14094951743,0,0,
"2015-11-01 00:10:11.952046","SYSDEFAULTADMWORKLOAD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2015-11-01 00:20:11.302269","SYSDEFAULTUSERWORKLOAD",1,0,144055,14415024653,0,0,0,5736576451212,3632537286682,5404173208,0,12158236,252401487,576009802,396350016,71621,0,14,303762,1940583,1050941,49850,13320487395,34215364,259133925970,9,66742006,44828979,18679504,105130,5995907,7439871,177042524,43664,179195184,58209,10846,58700,4261654017,8297,12491423,31339402761,137337,12499617,0,700,47036895,251381,948119,1441,18035707512,985611294,8205215914,828586655838,38725664692727,15334382110,15442276474913,39707190701690,56687165,-3495161871,432120177,-3495152413,78530350761,88052396309,0,0,90995724886881131,31972357041,8205214420,7504623783,7503466651,3793547412,248606683312,176,176,63714205,502445741,455159089,22428283,3929884,3921533,11482987,53556173850,39904158914,10120201408,53557823986,13652936909,10988003373,1568423,32574,17797447098,47510583,1137669433,15473227,15815059,15584212,1583600808,917,10594587,3670838,5579,0,0,0,81310,14888,4,3449444,337209006,10841115,14095013604,0,0,
"2015-11-01 00:20:11.302269","SYSDEFAULTADMWORKLOAD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2015-11-01 00:30:10.980631","SYSDEFAULTUSERWORKLOAD",1,0,144058,14415182322,0,0,0,5736581867549,3632542165223,5404198273,0,12158236,252403638,576025765,396378316,71621,0,14,303780,1940815,1052790,49850,13321326870,34247466,259185376246,9,66749986,44829461,18684898,105151,5996930,7441731,177042524,43664,179195184,58209,10846,58700,4261785967,8298,12492534,31341755336,137350,12500734,0,700,47038295,251387,948548,1447,18036443558,985626325,8205742462,828589746104,38725748632011,15334552293,15442458040300,39707650193889,56687907,-3494951486,432124839,-3494942023,78532719476,88068881546,0,0,90995730438632767,31973972415,8205740966,7504628974,7503470914,3793570188,248606706088,176,176,63715723,502447988,455161072,22428345,3929884,3921533,11482987,53557173684,39904289237,10120359080,53558823819,13653806419,10988167133,1568423,32574,17798177276,47511406,1137684358,15473240,15815373,15584525,1583633577,917,10594587,3670838,5579,0,0,0,81310,14888,4,3449458,337209278,10841153,14095163835,0,0,
"2015-11-01 00:30:10.980631","SYSDEFAULTADMWORKLOAD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2015-11-01 00:40:11.011445","SYSDEFAULTUSERWORKLOAD",1,0,144058,14415496096,0,0,0,5736587665982,3632545478377,5404267614,0,12158236,252408013,576031131,396386678,71621,0,14,303811,1940820,1052798,49850,13321455289,34247474,259236170125,9,66753466,44829500,18690288,105177,5997936,7443589,177042524,43664,179195184,58209,10846,58700,4261917907,8299,12493644,31344113725,137360,12501850,0,700,47038295,251387,948548,1447,18036463701,985647100,8206747995,828598800077,38725788628808,15334804897,15442812142366,39708585256460,56688838,-3494574219,432132352,-3494564756,78532987007,88069149077,0,0,90995730523166898,31974129505,8206746499,7504637755,7503479693,3793616597,248606752497,176,176,63719715,502448060,455161110,22428383,3929884,3921533,11482987,53557388236,39904374984,10120672854,53559038371,13653935224,10988491998,1568423,32574,17798197854,47512187,1137704903,15473252,15815632,15584785,1583666503,917,10594587,3670838,5579,0,0,0,81310,14888,4,3449460,337209464,10841167,14095466876,0,0,
"2015-11-01 00:40:11.011445","SYSDEFAULTADMWORKLOAD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
